"filename", "language", "JavaScript", "JSON", "YAML", "Handlebars", "XML", "CSS", "SCSS", "HTML", "comment", "blank", "total"
"/home/master/Vidventures WebApp./.github/workflows/node.js.yml", "YAML", 0, 0, 26, 0, 0, 0, 0, 0, 3, 11, 40
"/home/master/Vidventures WebApp./app.js", "JavaScript", 121, 0, 0, 0, 0, 0, 0, 0, 7, 33, 161
"/home/master/Vidventures WebApp./config/cloudinary.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 5, 11, 35
"/home/master/Vidventures WebApp./config/conn.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10
"/home/master/Vidventures WebApp./config/email.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 3, 6, 34
"/home/master/Vidventures WebApp./config/instaFetch.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 0, 32, 21, 80
"/home/master/Vidventures WebApp./config/invoice.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 8, 8, 20
"/home/master/Vidventures WebApp./config/multer.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 4, 29
"/home/master/Vidventures WebApp./config/passport.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 2, 2, 12
"/home/master/Vidventures WebApp./config/payment.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5
"/home/master/Vidventures WebApp./config/test.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"/home/master/Vidventures WebApp./config/whatsapp.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 1, 3, 14
"/home/master/Vidventures WebApp./controllers/adminController.js", "JavaScript", 828, 0, 0, 0, 0, 0, 0, 0, 42, 160, 1030
"/home/master/Vidventures WebApp./controllers/dashboard.js", "JavaScript", 112, 0, 0, 0, 0, 0, 0, 0, 24, 41, 177
"/home/master/Vidventures WebApp./controllers/productController.js", "JavaScript", 49, 0, 0, 0, 0, 0, 0, 0, 2, 17, 68
"/home/master/Vidventures WebApp./controllers/userController.js", "JavaScript", 915, 0, 0, 0, 0, 0, 0, 0, 24, 128, 1067
"/home/master/Vidventures WebApp./controllers/userHome.js", "JavaScript", 48, 0, 0, 0, 0, 0, 0, 0, 22, 20, 90
"/home/master/Vidventures WebApp./middlewares/adminAuth.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 10, 33
"/home/master/Vidventures WebApp./middlewares/userAuth.js", "JavaScript", 30, 0, 0, 0, 0, 0, 0, 0, 0, 10, 40
"/home/master/Vidventures WebApp./models/couponModel.js", "JavaScript", 53, 0, 0, 0, 0, 0, 0, 0, 0, 9, 62
"/home/master/Vidventures WebApp./models/formData.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"/home/master/Vidventures WebApp./models/orderModel.js", "JavaScript", 94, 0, 0, 0, 0, 0, 0, 0, 2, 10, 106
"/home/master/Vidventures WebApp./models/ordermodel2.js", "JavaScript", 43, 0, 0, 0, 0, 0, 0, 0, 2, 6, 51
"/home/master/Vidventures WebApp./models/postModel.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 4, 23
"/home/master/Vidventures WebApp./models/priceTable.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 3, 23
"/home/master/Vidventures WebApp./models/productModel.js", "JavaScript", 72, 0, 0, 0, 0, 0, 0, 0, 0, 13, 85
